,upper_short,lower_short,upper_long,lower_long,upper_p,lower_p,training_returns,training_benchmark_returns,training_benchmark_std,returns,benchmark_returns,benchmark_std,ticker
10,21,21,50,75,0.006325000000000001,2.5007500000000004e-05,,0.0012919288611576562,0.020073931524483373,0.00013523847405621638,0.0014880255419040783,0.022037355492369556,AVGO
11,10,25,68,56,0.025,7.50025e-05,0.0036013082080523697,0.0011636888697976382,0.012178473599952071,-0.003891722808604362,0.000629652244492907,0.019214260749782722,AXP
12,13,21,68,68,0.006325000000000001,1e-08,0.0015819473919384609,0.0010481034875113458,0.009978240381093954,0.0013728111279786015,0.0005560873349533742,0.01602500125836317,AZN
13,10,21,75,50,0.025,2.5007500000000004e-05,0.0003840199001199288,0.0012429846123463326,0.01314869597712992,-0.006969048398779215,0.0006252193007056898,0.024997691738964208,BA
14,10,10,50,50,0.0001,1e-08,,,,-0.001370969206512955,0.0003793635233743483,0.022480671624457507,BABA
15,10,13,50,62,0.018775,2.5007500000000004e-05,,0.0015902828945907794,0.01919531087228369,-0.0018960460595938498,0.0007780067010108576,0.019791914583520996,BAC
16,13,25,50,56,0.025,5.0005000000000007e-05,0.000337651179801871,5.0410993483537204e-05,0.015260964182214308,-0.0026574650177056533,0.00039642581957328196,0.021383652405923936,BHP
17,21,13,62,56,0.01255,2.5007500000000004e-05,0.002571907565501235,0.0010852607281334019,0.014329189724771468,0.00012171976354810225,0.0006960247155339474,0.01672166560822701,BLK
18,13,25,75,68,0.018775,2.5007500000000004e-05,0.002668767293350481,0.0012442061913632402,0.01306966610597225,-0.004025494749865555,0.0003498462741156536,0.01570170461807143,BMY
19,13,25,62,68,0.0001,7.50025e-05,0.006675307571641293,0.0017939859280152704,0.018037475473244045,9.70238574969176e-05,0.0011005112351628616,0.020007017364825404,BX
20,10,21,75,50,0.006325000000000001,5.0005000000000007e-05,0.0022274337628356558,0.0008999593282235313,0.01822978148008515,-0.004796849768905335,0.00043595222904526786,0.0207647861337014,C
21,21,25,75,68,0.0001,0.0001,0.0051200863753783155,0.0013000044529539233,0.012356038006119913,0.0005731475286085108,0.0004809708880299975,0.01512833861463069,CMCSA
22,10,10,50,62,0.01255,1e-08,-0.0010694447699311788,0.000516523733171246,0.010501368810558322,-0.00316947420152446,0.0005813197969076552,0.02452976304249096,COP
23,17,17,75,75,0.01255,1e-08,-7.808110545249744e-05,0.000851075543645469,0.009982849749739826,0.0009312704365253868,0.0009092143148328794,0.012572984649026578,COST
24,10,25,68,62,0.01255,2.5007500000000004e-05,0.0040753669378433355,0.001574121285220779,0.020965305233562038,-0.004087160547557059,0.0007898923042557578,0.02125378738499517,CRM
25,10,25,50,50,0.01255,2.5007500000000004e-05,,0.000416734905757326,0.016094479712856838,0.001484863283308252,0.0007153323322403371,0.015727935243723165,CSCO
26,25,25,75,75,0.025,0.0001,0.0040676391944390365,0.0010773936460244278,0.010470625557819593,4.800369919778978e-05,0.0004002953717953544,0.01590436444220782,CVS
27,25,25,68,75,0.025,1e-08,0.000729747290941902,0.00029188604543675147,0.009823554601367728,0.0011229556846752736,0.00042577494843793856,0.018792510409499242,CVX
28,17,25,62,75,0.025,2.5007500000000004e-05,0.004094476567973136,0.00019071092278668734,0.012351334397129933,-0.0007638971154051484,0.0009722007916131951,0.017950089122983976,DE
29,21,21,75,62,0.01255,2.5007500000000004e-05,0.004188710506796229,0.0007646131747001836,0.010810421044354701,-0.00109927246281195,0.00041118663114147894,0.01286929530376851,DEO
30,21,25,68,62,0.0001,5.0005000000000007e-05,0.0018073181168837215,0.0007817757807409428,0.011165453984718477,0.0004169452965157613,0.0008714486946373776,0.01341478357310486,DHR
31,13,21,56,68,0.025,5.0005000000000007e-05,0.00016137042259515278,0.0014088489895966152,0.011787875746978031,-0.0020798067038736868,0.0004949284976996622,0.016305240003829612,DIS
32,17,25,75,62,0.006325000000000001,0.0001,0.011421250589751297,0.0019196778943640466,0.033970526307271376,-0.0007453911307233706,0.0007612005722956071,0.020863243290345192,FB
33,13,25,62,50,0.025,1e-08,0.0028047239455847054,0.0014359197605825266,0.013781877567846598,-0.001331110769212231,0.0008647764645062925,0.01646465337051219,GOOG
34,13,25,62,50,0.025,1e-08,0.002804722370214859,0.0014359197005968233,0.013781877149748677,-0.0011953859514746146,0.0008619497178595093,0.016445485629419106,GOOGL
35,25,25,50,75,0.006325000000000001,2.5007500000000004e-05,0.005092962294387191,0.0008598941658252812,0.015236534788135525,-0.00017867396258326425,0.0005967079359051891,0.018076176278067076,GS
36,17,13,56,50,0.018775,1e-08,0.00065615059799264,0.0011482760680728665,0.011374730842067438,-0.0007569736147433115,0.0009437701929281379,0.014810261580575855,HD
37,13,17,68,62,0.0001,1e-08,-0.0017313917639770193,8.776866328813227e-05,0.0198884872450138,-0.0030864364230288534,0.0008780231622809894,0.018215841073550915,HDB
