,upper_short,lower_short,upper_long,lower_long,upper_p,lower_p,training_returns,training_benchmark_returns,training_benchmark_std,returns,benchmark_returns,benchmark_std,ticker
50,25,20,75,50,1e-07,1e-08,-0.010306766947178025,0.001376769656837841,0.013059748726329087,0.0008499980678296021,0.0009633941889691479,0.01747703372705281,MA
51,16,20,100,87,1e-06,1e-09,-2.669713491190476e-05,6.41185299515624e-05,0.008163162629796083,0.0005440201258695911,0.0006715999472379677,0.013050663398931248,MCD
52,25,20,50,75,1e-07,1e-08,,0.0009065158113465474,0.010802261200378643,0.0004610603871099002,0.0004667128541000655,0.014381360328450174,MDT
53,20,20,100,62,1e-05,1e-06,,0.0009700611097080279,0.010620027557340223,0.0008160536642647097,0.0003965354474734189,0.013721881570596952,MRK
54,16,16,50,100,1e-05,1e-06,,0.001092134900386898,0.020772806410994295,0.00034883682433263237,0.000871783931847638,0.019901255775849475,MS
55,29,25,87,100,1e-06,1e-06,0.0007331057438405273,0.000585666317820351,0.01442554940092287,0.0013366142382100798,0.001218913929907343,0.016525452407178755,MSFT
56,16,25,100,50,1e-06,1e-06,0.0011752520553981233,0.0010255705527668245,0.008574416271286942,-0.0014921810757497767,0.0007797133780903016,0.013979229885439202,NEE
57,20,16,62,100,1e-06,1e-06,,0.003386735254030988,0.04041864963251566,0.0010937519195679275,0.0012636854828879,0.02647565425129134,NFLX
58,16,25,50,87,1e-05,1e-07,,0.0008794414360045636,0.013899700655639433,-0.002459417593763946,0.00084542156401246,0.01692790129975435,NKE
59,16,16,50,50,1e-07,1e-09,,0.0028861146189501524,0.029998818260930843,0.0016134455245391667,0.001350277403928788,0.024472191473778097,NOW
60,16,16,50,50,1e-07,1e-09,,0.0005285403771495981,0.017060667869972217,0.0025130437716758187,0.0023580861611770137,0.02779352604951358,NVDA
61,16,33,87,62,1e-07,1e-06,,0.001139324033802478,0.015421342067412932,-0.00011241971751617973,0.0006182097149310356,0.016017335147574783,NVO
62,16,20,62,87,1e-05,1e-09,0.0010432778968043155,0.0009233632239390048,0.008490614063390736,-2.1482719870489928e-05,0.0002865283320161759,0.011819109168274973,NVS
63,16,16,87,50,1e-05,1e-06,,0.0007106010479498112,0.01377006390137177,0.0011518272396956188,0.0005187504106582338,0.015981897696969685,ORCL
64,16,25,75,100,1e-06,1e-06,,0.0005692648733075869,0.007760545874873913,-3.4187069646424095e-05,0.0005638331960146946,0.011675334980824017,PEP
65,16,20,100,100,1e-05,1e-09,0.0011615031984838987,0.0009738900733747771,0.009564666828141772,-0.00047608243836094673,0.0004813720038167159,0.01390785674817008,PFE
66,16,16,50,50,1e-07,1e-09,,0.0005496519771533333,0.009406478634236711,0.0006207489839131887,0.0005388758926541995,0.011415376831280343,PG
67,16,25,87,75,1e-05,1e-06,,0.00012818299299342402,0.01032815281980104,-0.00012676651604314433,0.00047173702312222946,0.01443405643312133,PM
68,16,33,100,100,1e-05,1e-06,0.00550337304884553,-0.00039739598523192175,0.014636010566244676,-0.0008167998183352906,1.2312678392448323e-05,0.020084446426593492,PTR
69,16,16,50,50,1e-07,1e-09,,,,0.0003626341072639411,0.0008847548435018196,0.022799323434728236,PYPL
