,short,long,alpha,strategy_returns,strategy_std,benchmark_returns,benchmark_std,training_strategy_returns,training_strategy_std,training_benchmark_returns,training_benchmark_std,ticker
50,16,55,0.015,0.0003181197531828555,0.020374615487214365,0.0009649196387177499,0.01748124005130775,0.0029159982025428258,0.015026651809450321,0.001376769656837841,0.013059748726329087,MA
51,13,55,0.015,0.00016137134825362496,0.014443961613287901,0.0006683033259461279,0.01305306537856447,0.0008002202851496224,0.008098321041768212,6.41185299515624e-05,0.008163162629796083,MCD
52,25,66,0.005,0.00022077563062986667,0.015281130712214475,0.00046589927326731576,0.014384885623626732,0.0025503327287246845,0.010139932568680775,0.0009065158113465474,0.010802261200378643,MDT
53,18,83,0.02,0.00039508049427392227,0.015413578411757207,0.0003947750498094884,0.013725061867867412,0.0009732849198418247,0.00914353491342696,0.0009700611097080279,0.010620027557340223,MRK
54,16,72,0.005,0.00013784033949246357,0.023972964639203922,0.0008673074883167331,0.019905183617195735,0.0034434378531927427,0.016424088341528552,0.001092134900386898,0.020772806410994295,MS
55,25,61,0.015,0.0011370290387889119,0.018027933610460137,0.0012164940580302115,0.016529199480914584,0.0010637485290057134,0.01592478561759855,0.000585666317820351,0.01442554940092287,MSFT
56,18,61,0.01,0.0006654413159175977,0.016490164300847994,0.0007795096816213794,0.013982698701104633,0.0016894112000807452,0.009732353094894447,0.0010255705527668245,0.008574416271286942,NEE
57,22,66,0.01,0.0008296088888624527,0.02676560260002786,0.0012674180042764574,0.026481699311148733,0.01744800643216219,0.04905086295327877,0.003386735254030988,0.04041864963251566,NFLX
58,20,72,0.005,0.00024653041501971425,0.018734743404745336,0.0008399290207889993,0.016930309367203168,0.0020071233211928596,0.012098568205239347,0.0008794414360045636,0.013899700655639433,NKE
59,13,88,0.005,0.00042510931848482365,0.02699011398200405,0.0014673724068278882,0.024049178325252392,0.0032896699946753536,0.030621266283399447,0.002083386417993402,0.030570055356737773,NOW
60,20,61,0.005,0.000926605592697048,0.03150041942785165,0.0023629584681659392,0.027799567934748623,0.004785330487033247,0.017637261218495303,0.0005285403771495981,0.017060667869972217,NVDA
61,23,72,0.005,0.0003620294315844883,0.01800227137422915,0.0006134865992182383,0.01601990954193725,0.003264540192847664,0.01590606224138795,0.001139324033802478,0.015421342067412932,NVO
62,16,61,0.01,-0.0003294514955259143,0.013433091583477125,0.0002844378477450756,0.011821671876774466,0.001657724128880806,0.009214396776610045,0.0009233632239390048,0.008490614063390736,NVS
63,19,55,0.025,0.0001754368227532544,0.01706828960291746,0.0005212134533162038,0.015985484338497155,0.0018085487117016324,0.014048492890686605,0.0007106010479498112,0.01377006390137177,ORCL
64,13,61,0.01,0.00018639429936537512,0.014382028336491262,0.0005627764525930956,0.011678138216278243,0.0006361269132232677,0.008768230166297124,0.0005692648733075869,0.007760545874873913,PEP
65,16,55,0.005,-3.9729860528627114e-05,0.014814180017580988,0.0004830272501853568,0.0139111123014395,0.001622919317134567,0.01038935858267894,0.0009738900733747771,0.009564666828141772,PFE
66,25,50,0.005,-6.982596351852885e-05,0.01646224520419566,0.0005388249063197826,0.01141821166375322,0.0010139130651256071,0.009428386381774286,0.0005496519771533333,0.009406478634236711,PG
67,18,55,0.015,-0.0003862154874355423,0.01651191716088006,0.0004765809284310298,0.01443600294725471,0.0008371917242104124,0.011395686020027137,0.00012818299299342402,0.01032815281980104,PM
68,23,50,0.025,-0.0006647881747732614,0.02056156484049316,1.6134171179494104e-05,0.020088701723417396,0.0009813429557310118,0.014790735558641467,-0.00039739598523192175,0.014636010566244676,PTR
69,19,83,0.005,-0.0003618213305545776,0.0263225254278059,0.000958912747618052,0.023411098625356716,0.013203815763030667,0.03255370425956227,0.0005848471632690039,0.020227423514804263,PYPL
70,25,50,0.01,0.0005693097537487614,0.022873481702945647,0.0007546937220943126,0.021857336612992818,0.0022511171559732074,0.014562394262712558,0.0005351976742398588,0.013106217265832665,QCOM
71,15,77,0.015,-0.00048219196029205695,0.022808183453934202,0.0006205585605745741,0.020833317063460734,0.0029675716582913438,0.019201849604001817,0.00038071624254761396,0.01990942030571064,RIO
72,18,61,0.005,-0.000710067684032274,0.020524833280588503,0.0003629387300670691,0.017057014925699145,0.002301511772774677,0.009986331293648931,0.0007832827940209608,0.011048888808721465,RTX
73,23,72,0.005,0.0001082326743121196,0.015561841362442269,0.0004904306143210706,0.01278984826667008,0.0016004254908149763,0.009128563958217916,0.0006044277754448122,0.010377675127388316,RY
74,23,50,0.01,-6.022947412229899e-05,0.019198725821549155,0.00038347201306604807,0.016210570360710077,0.0024153526375936653,0.014698914838474809,0.0005707624137883411,0.014300995020143117,SAP
75,23,50,0.005,0.0008499623955295963,0.023288672821857512,0.0008448215140417645,0.020725048868615842,0.004883517481033515,0.021931275654896096,0.0016054584035151455,0.01628132216373156,SCHW
76,25,50,0.005,0.00030988796636058276,0.014252177103346326,0.00026579472655458665,0.013882959248868879,0.00354846236826765,0.011446224032707173,0.0008676263383532213,0.014008108352372338,SNY
77,19,72,0.005,0.0002874772150755152,0.02120948157540494,0.0010803240852847603,0.019200883039657567,0.002784128689739599,0.02403031493142234,-8.516750838283935e-05,0.023808284428686797,SONY
78,25,50,0.005,0.00039267082831031684,0.014066738034425565,0.00016480571580629834,0.013338585152792496,0.0002869134941723682,0.010146887355050533,0.0004260855862222685,0.009468951386627636,T
79,18,88,0.01,-0.0003302868899408796,0.01587736334727433,0.0005554596074428486,0.01365150787686765,0.001432437964568755,0.008555910401413703,0.00042730225499323183,0.008658569327342184,TD
80,18,88,0.025,0.0001068169531116036,0.014079636537256059,0.0003685458787377422,0.012861665736169195,0.002079699606814538,0.015785706964203897,0.00082749620248517,0.01428073930712459,TM
81,16,77,0.02,0.0005888502768366055,0.017834053699003923,0.0008581337322194002,0.015045941372746468,0.0037583878915542,0.013496218259629255,0.0017166204530645677,0.013118050052705917,TMO
82,25,77,0.005,0.000802594680383558,0.017470204470684928,0.0008291219823674636,0.017735746045864396,0.002539437762050457,0.02531074990721214,0.001690220378265648,0.03146688947581151,TMUS
83,25,50,0.005,0.0015015942870453597,0.03592388446923566,0.0020862580063574308,0.03433785947440193,0.005799730528951533,0.045853719999351304,0.0043051069555625,0.037906278503919165,TSLA
84,22,61,0.005,0.0002994347553792011,0.018671577085877668,0.0012365001481698746,0.018295634138480562,0.0014557096878920566,0.014063355330002308,0.0006573088159110621,0.015454411870325242,TSM
85,15,50,0.02,-0.0004516298533038212,0.020552981764166502,0.0003696707189931452,0.018631914441103632,0.0013383200722714218,0.01231136589772185,0.0005282454751043985,0.012744493767360256,TTE
86,25,50,0.005,0.0004665969075140436,0.021102089826085694,0.0009179571156415234,0.017552406847298918,0.007119233786914026,0.006297476890701516,0.000766847613614379,0.013639742460896193,TXN
87,18,72,0.005,-0.0001845292594825942,0.015470447038228015,0.0003439244426075117,0.01361856087640939,0.003472036000387794,0.011218811759094201,0.0006178403651358214,0.009950544801303435,UL
88,20,94,0.005,0.0010847799010008186,0.021451403365014814,0.0011138552491106466,0.01638211681340715,0.002539657083833167,0.013035315810305176,0.000714051823361983,0.01325598278876084,UNH
89,20,61,0.005,0.0006177291303696294,0.018450629983253072,0.0007303200764343688,0.016256489692170133,0.0026210772995331135,0.01374135299558627,0.001080345991679719,0.012112200579336305,UNP
90,23,50,0.015,0.00013557727048558855,0.016975046133039757,0.0006205814491220243,0.015334778371477068,0.0015588137710475622,0.009121561555756405,0.0006053935959306557,0.009170092290171404,UPS
91,19,61,0.005,0.0008442431225436711,0.017006543222218024,0.0008386777222036849,0.01581205500291962,0.003266338958152714,0.011787891798044967,0.001458041909439229,0.013353845788208,V
92,23,55,0.005,0.0002699301845664746,0.012136384710503748,0.00030383431101642963,0.011060321532162172,0.0008823505874638932,0.010844795329526478,0.000676010119403634,0.01028900825743505,VZ
93,23,50,0.005,-0.00019998648964768636,0.021206424636879436,0.0003987126678433239,0.01919187782384605,0.002986803575242907,0.010467212743398692,0.0009562941112504958,0.011669140667783085,WFC
94,20,61,0.005,-0.00026839109457318277,0.015602171003913447,0.0004895193581120085,0.012968289434282963,0.0003644112133906743,0.008607611088561186,0.0005404472374861789,0.009054449821887219,WMT
95,25,100,0.01,-0.0003660319930998974,0.01910427843407931,0.00022248249932916526,0.01704219252526353,0.0007054810053704767,0.008325259822309876,0.0003403321805372426,0.009034502133444939,XOM
